Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
152730067;09/30/2015;01:16 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10699374854292, -87.97260586078269];4922 N 48TH ST
152730135;09/30/2015;07:09 PM;5.0;THEFT FROM BUILDING;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
152720168;09/29/2015;08:45 PM;4.0;THEFT FROM BUILDING;;;;[43.116578904264415, -87.9237369763111];5479 N MILWAUKEE RIVER PK
152710051;09/28/2015;11:16 AM;7.0;THEFT FROM BUILDING;;;;[43.11089449711447, -87.97251133236193];4736 W EGGERT PL
152710119;09/28/2015;04:21 PM;5.0;THEFT FROM BUILDING;;;;[43.090334298084144, -87.93433247013695];4028 N 19TH ST
152700077;09/27/2015;09:24 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10582411518263, -87.95904863532216];4861 N 37TH ST
152690108;09/26/2015;04:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.108320518754546, -87.97571172300768];5016 W FAIRMOUNT AV
152680041;09/25/2015;09:00 AM;5.0;THEFT FROM BUILDING;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
152650029;09/22/2015;06:44 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10808199417161, -87.94524391185313];4968 N 26TH ST
152640124;09/21/2015;12:32 PM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.14069940882337, -87.96566502005355];6770 N 43RD ST
152630024;09/20/2015;03:00 AM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.110999586733215, -87.95156809925535];5157 N 31ST ST
152620119;09/19/2015;01:51 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.14122447287824, -87.96279158381903];4101 W GREEN TREE RD
152560128;09/13/2015;05:55 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.127257563618166, -87.96474013060697];6038 N 42ND ST
152540061;09/11/2015;08:51 AM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.10756069608749, -87.96505161368208];4951 N 42ND ST
152510118;09/08/2015;03:07 PM;4.0;THEFT FROM BUILDING;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
152510129;09/08/2015;04:19 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10471592996055, -87.95991463775593];4800 N HOPKINS ST
152500115;09/07/2015;01:50 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST #220
152460069;09/03/2015;09:54 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10403055952457, -87.93127331825232];4775 N GREEN BAY AV
152460108;09/03/2015;04:50 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11435248124544, -87.94064202844942];2317 W LAWN AV
152450110;09/02/2015;04:37 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1433264657222, -87.96554592238472];6916 N 43RD ST
152730017;09/30/2015;06:30 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.03141746768411, -87.99017416763806];6202 W FAIRVIEW AV
152700026;09/27/2015;06:00 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.05420970191585, -87.97610300620374];1756 N HI MOUNT BL
152700033;09/27/2015;07:50 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.038687470136956, -87.97377060935426];4733 W WISCONSIN AV
152700126;09/27/2015;06:59 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.04953825145711, -87.98000963532216];1409 N 53RD ST
152700159;09/27/2015;09:41 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.075390528420755, -87.99322444463039];6511 W BURLEIGH ST
152680028;09/25/2015;07:19 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.04605094751592, -87.98354689246341];5615 W MARTIN DR
152670066;09/24/2015;12:54 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.06010324562871, -87.97988244460173];2236 N 53RD ST
152660090;09/23/2015;01:06 PM;3.0;THEFT FROM MOTOR VEHICLE;BURGLARY/BREAKING AND ENTERING;;;[43.0339047171793, -87.9769729773503];308 N 50TH ST
152660146;09/23/2015;05:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.074917863725545, -87.9785585809335];3069 N 52ND ST
152640137;09/21/2015;04:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.081469302399405, -87.99483469219514];3425 N 67TH ST
152610137;09/18/2015;05:40 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.0256525029142, -87.99741011757723];615 S 68TH ST
152600059;09/17/2015;11:19 AM;3.0;THEFT FROM BUILDING;;;;[43.02551658090485, -88.00715245282562];620 S 76TH ST
152600069;09/17/2015;12:01 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.0879317485429, -88.00060635356932];3906 N 71ST ST
152600108;09/17/2015;03:00 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.05365966472388, -87.97871393738835];1728 N 52ND ST
152580045;09/15/2015;08:34 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.072848586733215, -87.97486107372015];2955 N 49TH ST
152580087;09/15/2015;01:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.082980994171635, -87.99212644791994];3514 N 64TH ST
152580097;09/15/2015;12:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.06805348211083, -87.98454109533156];5708 W CENTER ST
152570033;09/14/2015;07:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.08185532361938, -87.98570395181508];3444 N 58TH ST
152570121;09/14/2015;03:55 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.07352151399405, -87.9946605];6623 W CHAMBERS ST
152560122;09/13/2015;05:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.086223517917844, -88.00099543363746];7158 W APPLETON AV
152540111;09/11/2015;09:24 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.02500361226845, -87.9987095809335];645 S 69TH ST
152540169;09/11/2015;07:07 PM;7.0;THEFT FROM BUILDING;;;;[43.07028172107443, -87.98679390463978];5926-A W APPLETON AV
152530035;09/10/2015;06:30 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.034907731317574, -87.97594426507575];4837 W SUNNYSIDE DR
152530059;09/10/2015;11:42 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.053533025535216, -87.97473957372014];1723 N 49TH ST
152490104;09/06/2015;02:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.08673273743442, -88.00166547824435];7177 W APPLETON AV
152490121;09/06/2015;03:46 PM;3.0;THEFT FROM BUILDING;;;;[43.0607915294116, -87.98672676065398];5926 W NORTH AV
152470013;09/03/2015;10:11 PM;3.0;THEFT FROM BUILDING;;;;[43.03009922592187, -88.02724341127622];146 S 92ND ST
152450008;09/02/2015;12:53 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;[43.05299550764604, -87.972984];4722 W WASHINGTON BL
152450036;09/02/2015;04:53 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.05841985789718, -87.98084810646873];2157 N 54TH ST #LWR
152450074;09/02/2015;12:08 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.03892418177403, -87.97575151019416];4938 W WISCONSIN AV
152450153;09/02/2015;07:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.07375644463039, -87.9862490809335];3009 N 59TH ST
152710070;09/28/2015;12:35 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.981847417232494, -87.94853596808659];3477 S 27TH ST
152710077;09/28/2015;01:54 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.986851513994026, -88.01372135789715];8035 W EUCLID AV
152710168;09/28/2015;07:04 PM;6.0;THEFT FROM BUILDING;;;;[42.9784930058284, -88.0202995226497];3627 S 86TH ST
152690090;09/26/2015;02:21 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.984705397388694, -87.94846638397011];3333 S 27TH ST
152690091;09/26/2015;02:21 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.9831945672858, -87.94849586902569];3401 S 27TH ST
152670103;09/24/2015;05:51 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.98790524453221, -87.96996579268844];4440 W FOREST HOME AV
152650037;09/22/2015;08:04 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97401609950371, -87.94872580596993];2720 W HOWARD AV
152630050;09/20/2015;09:38 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.99767924562872, -87.99570295181508];2570 S 67TH ST
152630081;09/20/2015;12:42 PM;6.0;THEFT FROM BUILDING;;;;[42.97343791032325, -88.00816438422375];3913 S 76TH ST #7
152640002;09/20/2015;10:47 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.998670000000004, -87.99911953707641];2521 S 69TH ST
152620098;09/19/2015;02:31 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97401609950371, -87.94873117661656];2722 W HOWARD AV
152620105;09/19/2015;03:05 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97403409952649, -87.95011027143902];2820 W HOWARD AV #3
152620173;09/19/2015;08:10 PM;6.0;THEFT FROM BUILDING;;;;[42.98290650678069, -87.98353085789716];5517 W HOLT AV
152620009;09/18/2015;11:27 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.974716224671994, -87.95320765126252];3870 S MINER ST #1
152570058;09/14/2015;07:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98162004804069, -87.98031959481196];5224 W FOREST HOME AV
152580007;09/14/2015;11:28 PM;6.0;THEFT FROM BUILDING;;;;[42.999439228587136, -87.96959022913687];2459 S 43RD ST #302
152550060;09/12/2015;11:39 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.980642580904856, -87.98912447013694];3520 S 61ST ST
152530173;09/10/2015;10:15 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.986817586733224, -87.96792752654483];3167 S 43RD ST
152510046;09/08/2015;09:07 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98680875437128, -87.96545051543632];3169 S 41ST ST
152510112;09/08/2015;01:55 PM;6.0;THEFT FROM BUILDING;;;;[42.99485375826644, -87.98777105539827];2727 S 60TH ST #2
152510143;09/08/2015;05:05 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98402411217089, -87.94350398033778];2304 W SUNBURY CT
152490098;09/06/2015;02:09 PM;6.0;THEFT FROM BUILDING;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
152460031;09/03/2015;05:08 AM;6.0;THEFT FROM BUILDING;;;;[42.98507958090485, -87.98643347013694];3270 S 58TH ST
152460049;09/03/2015;09:20 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.985476471550584, -88.01882447013695];3242 S 85TH ST
152460076;09/03/2015;01:09 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98728270716733, -87.98618478879331];5801 W LAKEFIELD DR
152440050;09/01/2015;10:53 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.97329075437128, -87.98558855539827];3921 S 57TH ST
152440116;09/01/2015;05:37 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97943176943963, -87.94922121638618];2700 W LOOMIS RD
152500144;09/01/2015;07:22 PM;6.0;THEFT FROM BUILDING;;;;[42.98822154674261, -88.00244983236193];7201 W OKLAHOMA AV
152730081;09/30/2015;02:16 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02331816196852, -87.92832526764168];1310 W NATIONAL AV
152730143;09/30/2015;11:14 PM;2.0;THEFT FROM BUILDING;;;;[43.0029619030159, -87.93030724790034];1414 W LINCOLN AV
152730149;09/30/2015;08:16 PM;2.0;THEFT FROM BUILDING;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152720056;09/29/2015;11:50 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01370481592378, -87.91842150753479];1620 S 6TH ST #204
152720058;09/29/2015;11:30 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.02072693588781, -87.91268054876183];1017 S 2ND ST
152720131;09/29/2015;07:11 PM;2.0;THEFT FROM BUILDING;;;;[43.00280386384389, -87.9275821306919];1225 W LINCOLN AV
152710025;09/28/2015;09:25 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.999205514859426, -87.927831];1214 W ARTHUR AV
152710064;09/28/2015;12:18 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.99972232944776, -87.92851442627985];2468 S 13TH ST
152710172;09/28/2015;10:13 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.00967654954124, -87.9241634662418];1920 S 10TH ST
152700015;09/27/2015;03:25 AM;1.0;THEFT FROM MOTOR VEHICLE;;;;[43.029536018321856, -87.91107906982499];161 S 1ST ST
152700025;09/27/2015;04:35 AM;1.0;THEFT FROM MOTOR VEHICLE;;;;[43.029536018321856, -87.91107906982499];161 S 1ST ST
152700034;09/27/2015;08:30 AM;2.0;THEFT FROM BUILDING;;;;[43.0222021306118, -87.90711142535162];818 S WATER ST
152690143;09/26/2015;06:30 PM;2.0;THEFT FROM BUILDING;;;;[43.02162866472386, -87.9330159001677];916 S CESAR E CHAVEZ DR
152670090;09/24/2015;04:21 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00539655440549, -87.93445496808273];2163 S 17TH ST
152660044;09/23/2015;08:11 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02640613148584, -87.91551067762198];400 W VIRGINIA ST
152660045;09/23/2015;08:27 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.015642323619375, -87.92393545902844];1512 S 10TH ST
152660047;09/23/2015;08:44 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01902450288553, -87.92462266763806];1025 W SCOTT ST
152660078;09/23/2015;12:19 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.013534596804185, -87.91842870911293];1630 S 6TH ST
152660083;09/23/2015;01:05 PM;1.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02737346047076, -87.91598127407813];408 W FLORIDA ST
152660155;09/23/2015;06:24 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152650096;09/22/2015;02:00 PM;2.0;THEFT FROM BUILDING;;;;[43.0142714121416, -87.93587149068051];1580-A S MUSKEGO AV
152640072;09/21/2015;11:12 AM;2.0;THEFT FROM BUILDING;;;;[43.02299636081136, -87.91267955539827];801 S 2ND ST
152640218;09/21/2015;10:20 PM;2.0;THEFT FROM BUILDING;;;;[43.01287807660568, -87.9168091031505];1669 S 5TH ST
152630117;09/20/2015;04:05 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.006542140695856, -87.92308268441751];900 W BECHER ST
152620026;09/19/2015;03:33 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00653367428991, -87.91879160023815];600 W BECHER ST
152620054;09/19/2015;07:20 AM;1.0;THEFT FROM MOTOR VEHICLE;;;;[43.027349529863066, -87.91361180682671];234 W FLORIDA ST
152610181;09/18/2015;11:05 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.023825000000016, -87.91690009925536];715 S 5TH ST
152550007;09/17/2015;05:18 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.0122684884588, -87.92985035789717];1401 W MITCHELL ST
152600070;09/17/2015;12:04 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.00619717451563, -87.9257934839374];2113 S 11TH ST
152590087;09/16/2015;03:14 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.02413665175822, -87.9153536517582];700 S 4TH ST
152590108;09/16/2015;05:24 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00798625728547, -87.92571904097154];2009 S 11TH ST
152590110;09/16/2015;05:31 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01927966472388, -87.92399759536022];1139 S 10TH ST
152590122;09/16/2015;06:10 PM;2.0;THEFT FROM BUILDING;;;;[43.00277686387812, -87.9212385];801 W LINCOLN AV
152580158;09/15/2015;07:02 PM;2.0;THEFT FROM BUILDING;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152570065;09/14/2015;10:21 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.02090100582839, -87.91679590795799];1000 S 5TH ST
152570099;09/14/2015;01:15 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.012847915659684, -87.92685080710724];1670 S 12TH ST
152570165;09/14/2015;05:39 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.017704497085816, -87.9380334190665];1314 S 20TH ST
152560063;09/13/2015;10:49 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.002916500432704, -87.92708332944774];1136 W LINCOLN AV
152540119;09/11/2015;03:00 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00904539607009, -87.93584735134763];1962 S CONGO AV
152530032;09/10/2015;08:17 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02014646047076, -87.93165191909516];1536 W WASHINGTON ST
152530110;09/10/2015;05:08 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01817299999999, -87.93305343349321];1238 S CESAR E CHAVEZ DR
152520111;09/09/2015;03:35 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01364177823307, -87.91117395646003];1635 S 1ST ST
152520147;09/09/2015;10:30 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00068841883537, -87.93273321637123];1562 W WINDLAKE AV
152510034;09/08/2015;08:17 AM;2.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[42.997832077990665, -87.92487347013694];2562 S 10TH ST
152510071;09/08/2015;11:49 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.01291624562873, -87.92121393349322];1656 S 8TH ST
152510153;09/08/2015;05:50 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[43.00581527699234, -87.93442805539827];2131 S 17TH ST
152500027;09/07/2015;02:40 AM;2.0;THEFT FROM BUILDING;;;;[43.0226403424895, -87.92534757372015];825 S 11TH ST #LWR
152500089;09/07/2015;12:23 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.99928981292549, -87.9313273801115];1500 W ARTHUR AV
152500181;09/07/2015;10:25 PM;2.0;THEFT FROM BUILDING;;;;[43.01227448124546, -87.9127605];201 W MITCHELL ST
152480109;09/05/2015;03:11 PM;2.0;THEFT FROM BUILDING;;;;[43.01703747879261, -87.93586400291419];1804 W GREENFIELD AV
152470020;09/04/2015;02:25 AM;1.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02939150000002, -87.9132645];400 W FRESHWATER WA
152470047;09/04/2015;09:12 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
152460128;09/03/2015;06:42 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02498529829975, -87.92677374930321];633 S 12TH ST
152470009;09/03/2015;09:05 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00577907799067, -87.92000447287825];2130 S 7TH ST
152450079;09/02/2015;12:49 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.02077400000002, -87.93308960646873];1023 S CESAR E CHAVEZ DR
152720088;09/29/2015;02:30 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00084845045876, -87.93456755539827];2415 S 17TH ST
152710027;09/28/2015;08:54 AM;6.0;THEFT FROM BUILDING;;;;[42.98562657951987, -87.93384059608044];3237 S 16TH ST #CIC-2
152710044;09/28/2015;11:01 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.928111878356134, -87.93040502480846];6401 S 13TH ST
152710065;09/28/2015;12:22 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.960384000000005, -87.91112906376547];4601 S 1ST ST
152710109;09/28/2015;05:37 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.93750952368889, -87.90949644737262];5890 S HOWELL AV
152700046;09/27/2015;10:14 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98006719900167, -87.93745054097155];3545 S 19TH ST
152700068;09/27/2015;12:38 PM;6.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[42.988497958293024, -87.93857776026523];2000 W OKLAHOMA AV
152690057;09/26/2015;09:51 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.97704549667428, -87.94817339603092];3716 S 27TH ST
152700174;09/24/2015;08:26 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00610324562871, -87.9367149190665];2118 S 19TH ST
152660066;09/23/2015;11:25 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.96128569810369, -87.93884123398891];4572 S 20TH ST
152660127;09/23/2015;05:25 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.98562657951987, -87.93384059608044];3237 S 16TH ST
152650067;09/22/2015;09:31 AM;6.0;THEFT FROM BUILDING;;;;[42.964587009175276, -87.94845598340983];4400 S 27TH ST #108
152650089;09/22/2015;11:09 AM;6.0;THEFT FROM BUILDING;;;;[42.934837594241905, -87.94909571808766];6044 S 27TH ST #7
152650165;09/22/2015;06:22 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;[42.994385748542896, -87.93837295455639];2740 S 20TH ST
152640055;09/21/2015;10:19 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.98118546047076, -87.93833366472387];1930 W MORGAN AV
152640115;09/21/2015;11:53 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.92639122009348, -87.94022245181507];6526 S 20TH ST
152640115;09/21/2015;11:53 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.92639122009348, -87.94022245181507];6526 S 20TH ST
152610058;09/18/2015;11:55 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.94186166472389, -87.92944449841346];5652 S 13TH ST
152610131;09/18/2015;06:15 PM;;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.957313805441736, -87.90981854053793];4747 S HOWELL AV
152610151;09/18/2015;07:28 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97704549667428, -87.94817339603092];3716 S 27TH ST
152600026;09/17/2015;04:56 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.9230454237697, -87.93055745296705];6719 S 13TH ST
152610003;09/17/2015;10:28 PM;6.0;THEFT FROM BUILDING;;;;[42.928111878356134, -87.93040502480846];6401 S 13TH ST
152610006;09/17/2015;05:12 PM;6.0;THEFT FROM BUILDING;;;;[42.95910947561956, -87.918471];545 W LAYTON AV
152590102;09/16/2015;04:43 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.99896699999999, -87.93832442627985];2512 S 20TH ST
152560066;09/13/2015;11:09 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.97953719455828, -87.93871345902845];3574 S 20TH ST
152550066;09/12/2015;12:05 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.00586113627446, -87.9367239190665];2130 S 19TH ST
152540069;09/11/2015;10:50 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.9547895323159, -87.94428316763806];2307 W HALSEY AV
152540077;09/11/2015;10:37 AM;6.0;THEFT FROM BUILDING;;;;[42.98011255536963, -87.91436491185313];3538 S 3RD ST
152540104;09/11/2015;01:49 PM;6.0;THEFT FROM BUILDING;;;;[42.93024050432782, -87.9127197485429];186 W COLLEGE AV
152540105;09/11/2015;01:57 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.95355303136361, -87.9473185010096];5001 S 26TH ST
152540109;09/11/2015;02:21 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.93358250291419, -87.93675598066852];6108 S 18TH ST
152530028;09/10/2015;06:17 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;[42.95497618373823, -87.91320760413144];4921 S 2ND ST
